Coin 	BuyDate 	CloseDate 	Quantity 	BuyPrice 	SellPrice 	Spent USDT 	Gained USDT 	ProfitUSDT 	Profit 	ChannelName 	SellReason 	dBTC 	d24BTC 	dMarket 	dM24 	bvsv 	dBTC5m 	Pump1H 	Dump1H 	d24h 	d3h 	d1h 	d15m 	d5m 	d1m 	dBTC1m 	PriceBug 	Vd1m 	H. Vol 	D. Vol
RUNE 	2022-03-29 19:17:26 	2022-03-29 19:23:53 	8.0 \ 8.0 	12.44300000 	12.33700000 	4.97919088 	4.05189491 	-0.93 	-18.6% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 12.337 BidEMA: 12.337 LastPrice = 12.338 BuyPrice = 12.443 (strategy <d180s1 M->); StopLoss fixed: 12.343 AllowedDrop: BUY -14.0% spread 	-0.06 	-0.53 	-0.01 	-0.78 	0.42 	0.26 	2.4 	2.29 	29.99 	6.84 	5 	1.89 	1.46 	0.78 	0.13 	0 	0.33 	50.2 m 	623.8 m
CRV 	2022-03-29 19:16:48 	2022-03-29 19:30:51 	35.8 \ 35.8 	2.79300000 	2.76800000 	5.00146979 	4.02683630 	-0.97 	-19.5% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 2.7680 BidEMA: 2.7680 LastPrice = 2.7685 BuyPrice = 2.7930 (strategy <d180s1 M->); StopLoss fixed: 2.7707 AllowedDrop: BUY -14.0% spread 	-0.14 	-0.55 	-0.29 	-0.99 	0.32 	0.15 	6.52 	0.06 	13.59 	8.3 	8.3 	3.01 	1.4 	0.54 	0.1 	0 	0.51 	28.2 m 	215.2 m
SUSHI 	2022-03-29 19:16:48 	2022-03-29 19:18:45 	24.0 \ 24.0 	4.14200000 	4.08800000 	4.97238816 	3.59738019 	-1.38 	-27.7% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 4.0880 BidEMA: 4.0880 LastPrice = 4.0885 BuyPrice = 4.1420 (strategy <d180s1 M->); StopLoss fixed: 4.0923 AllowedDrop: BUY -15.0% spread 	-0.14 	-0.55 	-0.29 	-0.99 	0.35 	0.15 	3.72 	0.17 	14.3 	8.35 	5.76 	1.26 	1.11 	0.48 	0.1 	0.01 	1.04 	21.4 m 	284.2 m
SKL 	2022-03-29 19:16:40 	2022-03-29 19:18:31 	495.0 \ 495.0 	0.20211000 	0.20308000 	5.00422339 	5.40414580 	0.4 	8.0% 	(strategy <d180s1 M->) 	Auto Price Down 	-0.12 	-0.52 	-0.27 	-0.99 	0.36 	0.14 	2.56 	5.18 	32.52 	10.85 	7.95 	2.42 	1.41 	0.9 	0.09 	0 	0.31 	19.1 m 	214.1 m
COMP 	2022-03-29 19:15:44 	2022-03-29 19:21:31 	0.71 \ 0.71 	140.76000000 	139.57000000 	4.99897879 	4.07446510 	-0.92 	-18.5% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 139.57 BidEMA: 139.57 LastPrice = 139.60 BuyPrice = 140.76 (strategy <d180s1 M->); StopLoss fixed: 139.63 AllowedDrop: BUY -14.0% spread 	0.01 	-0.45 	-0.03 	-0.78 	0.21 	0.13 	5.01 	0 	24.37 	6.37 	6.14 	2.72 	1.45 	1.04 	0.1 	0 	0.58 	11.5 m 	230.4 m
COMP 	2022-03-29 19:15:42 	2022-03-29 19:21:31 	0.71 \ 0.71 	140.76000000 	139.48000000 	4.99897879 	4.01059066 	-0.99 	-19.8% 	(strategy <d150s1 M->) 	StopLoss AutoActivated on price drop: BID = 139.57 BidEMA: 139.57 LastPrice = 139.60 BuyPrice = 140.76 (strategy <d150s1 M->); StopLoss fixed: 139.63 AllowedDrop: BUY -14.0% spread 	0.02 	-0.44 	-0.03 	-0.78 	0.23 	0.13 	5.55 	0 	24.37 	6.37 	6.14 	2.68 	1.45 	1.04 	0.1 	0 	0.56 	11.5 m 	230.4 m
COMP 	2022-03-29 19:15:40 	2022-03-29 19:21:28 	0.71 \ 0.71 	140.79000000 	139.50000000 	5.00004422 	4.00454189 	-1 	-19.9% 	(strategy <d120s1 M->) 	StopLoss AutoActivated on price drop: BID = 139.50 BidEMA: 139.50 LastPrice = 139.53 BuyPrice = 140.79 (strategy <d120s1 M->); StopLoss fixed: 139.66 AllowedDrop: BUY -14.0% spread 	0.02 	-0.44 	-0.03 	-0.78 	0.16 	0.13 	5.55 	0 	24.37 	6.37 	6.14 	2.7 	1.39 	0.97 	0.12 	0 	0.52 	11.5 m 	230.4 m
RSR 	2022-03-29 19:14:54 	2022-03-29 19:15:54 	5925.0 \ 5925.0 	0.01687700 	0.01697000 	5.00181117 	5.47261882 	0.47 	9.4% 	(strategy <d120s1 M->) 	Auto Price Down 	-0.05 	-0.51 	-0.1 	-0.84 	0.24 	0.13 	5.15 	0.12 	16.1 	6.59 	5.17 	2.34 	1.35 	0.44 	0.07 	0.03 	0.38 	9.7 m 	69.5 m
ARPA 	2022-03-29 19:14:38 	2022-03-29 19:20:28 	1174.0 \ 1174.0 	0.08515000 	0.08426000 	5.00030432 	3.87588942 	-1.12 	-22.5% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.08426 BidEMA: 0.08426 LastPrice = 0.08429 BuyPrice = 0.08515 (strategy <d180s1 M->); StopLoss fixed: 0.08447 AllowedDrop: BUY -14.0% s 	-0.07 	-0.53 	-0.06 	-0.78 	0.7 	0.13 	5.11 	1 	18.42 	10.91 	6.17 	1.81 	1.13 	0.33 	0.09 	0.01 	0.34 	5.2 m 	69.3 m
RSR 	2022-03-29 19:14:33 	2022-03-29 19:19:42 	5913.0 \ 5913.0 	0.01691100 	0.01677000 	5.00173704 	4.08834177 	-0.91 	-18.3% 	(strategy <d150s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.01677 BidEMA: 0.01677 LastPrice = 0.01677 BuyPrice = 0.01691 (strategy <d150s1 M->); StopLoss fixed: 0.01678 AllowedDrop: BUY -14.0% s 	-0.03 	-0.5 	0 	-0.74 	0.71 	0.13 	4.72 	0.53 	16.1 	6.59 	5.28 	2.17 	1.14 	0.35 	0.07 	0 	0.35 	9.7 m 	69.5 m
RSR 	2022-03-29 19:14:33 	2022-03-29 19:19:41 	5913.0 \ 5913.0 	0.01691100 	0.01677000 	5.00173704 	4.08834177 	-0.91 	-18.3% 	(strategy <d180s1 M->) 	StopLoss AutoActivated on price drop: BID = 0.01677 BidEMA: 0.01677 LastPrice = 0.01677 BuyPrice = 0.01691 (strategy <d180s1 M->); StopLoss fixed: 0.01678 AllowedDrop: BUY -14.0% s 	-0.03 	-0.5 	0 	-0.74 	0.72 	0.13 	4.72 	0.53 	16.1 	6.59 	5.28 	2.17 	1.14 	0.35 	0.07 	0 	0.35 	9.7 m 	69.5 m
MASK 	2022-03-29 19:12:24 	2022-03-29 19:17:47 	18.0 \ 18.0 	5.62600000 	5.57300000 	5.06542536 	4.03079259 	-1.03 	-20.4% 	(strategy <d150s1.2 M->) 	StopLoss AutoActivated on price drop: BID = 5.5750 BidEMA: 5.5750 LastPrice = 5.5760 BuyPrice = 5.6260 (strategy <d150s1.2 M->); StopLoss fixed: 5.5810 AllowedDrop: BUY -14.0% spre 	0 	-0.46 	-0.02 	-0.79 	0.2 	0.26 	3.16 	1.67 	14.31 	7.43 	4.92 	1.49 	1.78 	1.14 	0.12 	0.01 	0.11 	4.0 m 	67.8 m
